keyword,burst_start,burst_end,strength,total_freq
deep learning,2024,2025,2,33
transformer,2024,2025,2,34
integrated,2017,2017,1,6
integrated circuit modeling,2024,2025,1,19
manufacturing,2024,2024,1,5
integrated circuit,2024,2025,1,8
vision transformer,2025,2025,1,11
network,2025,2025,1,12
anomaly detection,2025,2025,1,8
transformers,2025,2025,1,29
data models,2025,2025,1,8
computational modeling,2025,2025,1,11
semiconductor manufacturing,2025,2025,1,11
feature extraction,2025,2025,1,13
deep,2025,2025,1,6
learning,2025,2025,1,8
accuracy,2025,2025,1,17
